Day, Time, Sender Region, Receiver Region, Hop IP, Duration, Hop Count
Thu,15:55:29,Asia-Northeast-1,US-West-2,175.41.128.204,17,1
Thu,15:55:29,Asia-Northeast-1,US-West-2,100.66.0.166,17,2
Thu,15:55:29,Asia-Northeast-1,US-West-2,100.66.0.85,16,3
Thu,15:55:29,Asia-Northeast-1,US-West-2,100.65.1.1,0,4
Thu,15:55:29,Asia-Northeast-1,US-West-2,203.83.223.18,174,5
Thu,15:55:29,Asia-Northeast-1,US-West-2,52.93.9.116,179,6
Thu,15:55:29,Asia-Northeast-1,US-West-2,52.93.9.85,174,7
Thu,15:55:29,Asia-Northeast-1,US-West-2,54.239.41.162,173,8
Thu,15:55:29,Asia-Northeast-1,US-West-2,54.239.52.128,174,9
Thu,15:55:29,Asia-Northeast-1,US-West-2,54.239.41.161,174,10
Thu,15:55:29,Asia-Northeast-1,US-West-2,54.239.43.43,174,11
Thu,15:55:29,Asia-Northeast-1,US-West-2,54.240.242.116,192,12
Thu,15:55:29,Asia-Northeast-1,US-West-2,52.93.70.187,174,13
Thu,15:55:29,Asia-Northeast-1,US-West-2,54.240.242.108,193,14
Thu,15:55:29,Asia-Northeast-1,US-West-2,54.240.242.107,175,15
Thu,15:55:29,Asia-Northeast-1,US-West-2,72.21.222.17,175,16
Thu,15:55:29,Asia-Northeast-1,US-West-2,100.64.16.186,175,17
Thu,15:55:29,Asia-Northeast-1,US-West-2,100.64.0.55,175,18
Thu,15:55:29,Asia-Northeast-1,US-West-2,100.64.2.98,175,19
Thu,15:55:29,Asia-Northeast-1,US-West-2,54.219.172.244,175,20
Thu,16:01:27,Asia-Northeast-1,US-West-2,175.41.128.204,12,1
Thu,16:01:27,Asia-Northeast-1,US-West-2,100.66.0.244,16,2
Thu,16:01:27,Asia-Northeast-1,US-West-2,100.66.0.53,13,3
Thu,16:01:27,Asia-Northeast-1,US-West-2,100.65.1.161,1,4
Thu,16:01:27,Asia-Northeast-1,US-West-2,203.83.223.18,175,5
Thu,16:01:27,Asia-Northeast-1,US-West-2,52.93.9.182,183,6
Thu,16:01:27,Asia-Northeast-1,US-West-2,52.93.9.41,174,7
Thu,16:01:27,Asia-Northeast-1,US-West-2,54.239.41.162,174,8
Thu,16:01:27,Asia-Northeast-1,US-West-2,54.239.52.128,174,9
Thu,16:01:27,Asia-Northeast-1,US-West-2,54.239.41.161,174,10
Thu,16:01:27,Asia-Northeast-1,US-West-2,54.239.43.43,174,11
Thu,16:01:27,Asia-Northeast-1,US-West-2,54.240.242.36,186,12
Thu,16:01:27,Asia-Northeast-1,US-West-2,54.240.242.131,174,13
Thu,16:01:27,Asia-Northeast-1,US-West-2,54.240.242.211,186,14
Thu,16:01:27,Asia-Northeast-1,US-West-2,54.240.242.127,177,15
Thu,16:01:27,Asia-Northeast-1,US-West-2,205.251.229.158,175,16
Thu,16:01:27,Asia-Northeast-1,US-West-2,100.64.16.48,176,17
Thu,16:01:27,Asia-Northeast-1,US-West-2,100.64.0.201,176,18
Thu,16:01:27,Asia-Northeast-1,US-West-2,100.64.2.0,175,19
Thu,16:01:27,Asia-Northeast-1,US-West-2,54.219.172.244,175,20
Thu,16:07:16,Asia-Northeast-1,US-West-2,175.41.128.208,19,1
Thu,16:07:16,Asia-Northeast-1,US-West-2,100.66.0.212,16,2
Thu,16:07:16,Asia-Northeast-1,US-West-2,100.66.0.91,20,3
Thu,16:07:16,Asia-Northeast-1,US-West-2,100.65.1.129,0,4
Thu,16:07:16,Asia-Northeast-1,US-West-2,203.83.223.76,174,5
Thu,16:07:16,Asia-Northeast-1,US-West-2,52.93.9.28,205,6
Thu,16:07:16,Asia-Northeast-1,US-West-2,52.93.9.173,175,7
Thu,16:07:16,Asia-Northeast-1,US-West-2,54.239.41.162,174,8
Thu,16:07:16,Asia-Northeast-1,US-West-2,54.239.52.128,174,9
Thu,16:07:16,Asia-Northeast-1,US-West-2,54.239.41.161,174,10
Thu,16:07:16,Asia-Northeast-1,US-West-2,54.239.43.43,174,11
Thu,16:07:16,Asia-Northeast-1,US-West-2,54.240.242.36,176,12
Thu,16:07:16,Asia-Northeast-1,US-West-2,54.240.242.151,176,13
Thu,16:07:16,Asia-Northeast-1,US-West-2,54.240.242.207,177,14
Thu,16:07:16,Asia-Northeast-1,US-West-2,54.240.242.67,175,15
Thu,16:07:16,Asia-Northeast-1,US-West-2,205.251.229.158,175,16
Thu,16:07:16,Asia-Northeast-1,US-West-2,100.64.16.162,175,17
Thu,16:07:16,Asia-Northeast-1,US-West-2,100.64.0.141,176,18
Thu,16:07:16,Asia-Northeast-1,US-West-2,100.64.2.152,175,19
Thu,16:07:16,Asia-Northeast-1,US-West-2,54.219.172.244,175,20
Thu,16:13:00,Asia-Northeast-1,US-West-2,175.41.128.202,19,1
Thu,16:13:00,Asia-Northeast-1,US-West-2,100.66.0.214,21,2
Thu,16:13:00,Asia-Northeast-1,US-West-2,100.66.0.75,17,3
Thu,16:13:00,Asia-Northeast-1,US-West-2,100.65.0.33,1,4
